,Utterance,Emotion,tokens,token_len
818,"Okay, I think I need to do some shopping.",neutral,"['okay', 'think', 'need', 'shopping']",4
819,Hello! Who’s in there?,neutral,"['hello', 'who']",2
820,How ya doin’?,neutral,"['ya', 'doin']",2
821,Who in the hell are you?,anger,['hell'],1
822,"I guess you wouldn’t believe me if I said I was Kurt Douglas, huh?",neutral,"['guess', 'wouldnt', 'believe', 'said', 'kurt', 'douglas', 'huh']",7
823,"No-no, Rachel, don’t get it! He can’t see us!",fear,"['nono', 'rachel', 'dont', 'get', 'cant', 'see', 'u']",7
824,"No, yeah! The groom cannot see the bride!",anger,"['yeah', 'groom', 'see', 'bride']",4
825,I’m not gonna marry Chandler!,anger,"['im', 'gon', 'na', 'marry', 'chandler']",5
826,Not after this!,anger,[],0
827,"Okay, you guys, just relax.  I doooo.",neutral,"['okay', 'guy', 'relax', 'doooo']",4
828,I gotta go.,neutral,"['got', 'ta', 'go']",3
829,"Oh, wait, Joshua! Joshua!   Yeah, well, that oughta do it.",sadness,"['oh', 'wait', 'joshua', 'joshua', 'yeah', 'well', 'oughta']",7
830,"Sorry I'm late, but I left late.",neutral,"['sorry', 'im', 'late', 'left', 'late']",5
831,Okay.,neutral,['okay'],1
832,"So Pheebs, what is the book about?",neutral,"['pheebs', 'book']",2
833,I thought you said you read it in high school.,neutral,"['thought', 'said', 'read', 'high', 'school']",5
834,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anyway—umm, what is this book about?",neutral,"['well', 'yeah', 'remembered', 'started', 'pep', 'rally', 'top', 'pyramid', 'anywayumm', 'book']",10
835,"Excuse me, can I, can I bum one of those?",neutral,"['excuse', 'bum', 'one']",3
836,"Y'know what, actually…  Okay, okay, okay, what's so funny over here?",neutral,"['yknow', 'actually', 'okay', 'okay', 'okay', 'whats', 'funny']",7
837,I thought you didn't smoke.,surprise,"['thought', 'didnt', 'smoke']",3
838,"Oh, I thought you guys meant marijuana cigarettes, y'know?",neutral,"['oh', 'thought', 'guy', 'meant', 'marijuana', 'cigarette', 'yknow']",7
839,"Y'know what I mean, like dubbies?",neutral,"['yknow', 'mean', 'like', 'dubbies']",4
840,"And I actually, I thought to myself, ""Wow, those guys are crazy!""",surprise,"['actually', 'thought', 'wow', 'guy', 'crazy']",5
841,"But no, I actually smoke the regular ones all, all the time.",neutral,"['actually', 'smoke', 'regular', 'one', 'time']",5
842,We get high.,neutral,"['get', 'high']",2
843,"Oh, me too.",neutral,['oh'],1
844,I'm kidding.,neutral,"['im', 'kidding']",2
845,"Oh, me too.",joy,['oh'],1
846,"Oh, are you sure you're ok?",sadness,"['oh', 'sure', 'youre', 'ok']",4
847,Yeah.,neutral,['yeah'],1
848,Does it still hurt?,sadness,"['still', 'hurt']",2
849,Yeah.,sadness,['yeah'],1
850,What a neat idea. All your clothes match. I'm gonna do this.,joy,"['neat', 'idea', 'clothes', 'match', 'im', 'gon', 'na']",7
851,Hi.,neutral,['hi'],1
852,"Hey, how'd it go?",neutral,"['hey', 'howd', 'go']",3
853,Excellent.,joy,['excellent'],1
854,"We ripped that couple apart, and kept the pieces for ourselves.",joy,"['ripped', 'couple', 'apart', 'kept', 'piece']",5
855,"What a beautiful story. Hey, I'm fine by the way.",joy,"['beautiful', 'story', 'hey', 'im', 'fine', 'way']",6
856,You know what? You are right. I,neutral,"['know', 'right']",2
857,Good for you Pheebs!,joy,"['good', 'pheebs']",2
858,Ok.,neutral,['ok'],1
859,"Okay  If you guys have microphones in there too, I didn't mean",neutral,"['okay', 'guy', 'microphone', 'didnt', 'mean']",5
860,This sucks! I didn’t know I had to stay up all night before I went to this stupid sleep clinic! I’m so tired!,anger,"['suck', 'didnt', 'know', 'stay', 'night', 'went', 'stupid', 'sleep', 'clinic', 'im', 'tired']",11
861,It’s 6:00.,neutral,[],0
862,Hi!,joy,['hi'],1
863,"Yeah, Rach, I think you’re handling that really well.",neutral,"['yeah', 'rach', 'think', 'youre', 'handling', 'really', 'well']",7
864,Handling it?,neutral,['handling'],1
865,"What do you mean, handling it?",joy,"['mean', 'handling']",2
866,There’s nothing to handle.,joy,"['there', 'nothing', 'handle']",3
867,"Now, maybe I would have a problem with this if it wasn’t for me and Joshua.",neutral,"['maybe', 'would', 'problem', 'wasnt', 'joshua']",5
868,"Y’know, they’re not gonna get married anyway!",anger,"['yknow', 'theyre', 'gon', 'na', 'get', 'married', 'anyway']",7
869,What?,surprise,[],0
870,Come on!,anger,['come'],1
871,They rushed into this thing so fast it’s ridiculous!,disgust,"['rushed', 'thing', 'fast', 'ridiculous']",4
872,"And somewhere along the way, one of them is gonna realise what they’ve done and they’re call the whole thing off.",neutral,"['somewhere', 'along', 'way', 'one', 'gon', 'na', 'realise', 'theyve', 'done', 'theyre', 'call', 'whole', 'thing']",13
873,"I’m telling ya, you’re gonna be dancing at my wedding before you’re dancing at there’s.",joy,"['im', 'telling', 'ya', 'youre', 'gon', 'na', 'dancing', 'wedding', 'youre', 'dancing', 'there']",11
874,What the hell is this?!,surprise,['hell'],1
875,"What, did you actually thought it would make me feel better to give me stuff that I can’t use for another two months?!",anger,"['actually', 'thought', 'would', 'make', 'feel', 'better', 'give', 'stuff', 'cant', 'use', 'another', 'two', 'month']",13
876,This sucks!,anger,['suck'],1
877,"All right, what’s my next present?",neutral,"['right', 'whats', 'next', 'present']",4
878,"All right, there’s a nuclear holocaust, I’m the last man on Earth. Would you go out with me?",neutral,"['right', 'there', 'nuclear', 'holocaust', 'im', 'last', 'man', 'earth', 'would', 'go']",10
879,Enhh,neutral,['enhh'],1
880,I’ve got canned goods.,neutral,"['ive', 'got', 'canned', 'good']",4
881,"Hey, you guys! Take a look at this!  Check this baby out, dug me a hole!",surprise,"['hey', 'guy', 'take', 'look', 'check', 'baby', 'dug', 'hole']",8
882,"Excellent hole, Joe.",neutral,"['excellent', 'hole', 'joe']",3
883,Oh no! No!! My hole!!,surprise,"['oh', 'hole']",2
884,Ow!! Ow!!!,disgust,"['ow', 'ow']",2
885,What?! What?!! What is it?!,surprise,[],0
886,My drinking?,neutral,['drinking'],1
887,"Oh, I must’ve said that after you left.",neutral,"['oh', 'mustve', 'said', 'left']",4
888,Said what? Exactly.,fear,"['said', 'exactly']",2
889,That you enjoyed the occasional drink…ing binge.,neutral,"['enjoyed', 'occasional', 'drinking', 'binge']",4
890,"Oh my God!! Ohh, that is it! I’m leaving! You are just a horrible person!",disgust,"['oh', 'god', 'ohh', 'im', 'leaving', 'horrible', 'person']",7
891,Wait-wait-wait-wait-wait-wait-wait-wait!!,fear,['waitwaitwaitwaitwaitwaitwaitwait'],1
892,If you’re gonna get all sensitive about it!,anger,"['youre', 'gon', 'na', 'get', 'sensitive']",5
893,I don’t want to lose you.,sadness,"['dont', 'want', 'lose']",3
894,"What if I, create a position for you?",neutral,"['create', 'position']",2
895,I’ll make you an assistant buyer in this department.,neutral,"['ill', 'make', 'assistant', 'buyer', 'department']",5
896,Say more things like that.,joy,"['say', 'thing', 'like']",3
897,"You can have your own office, and a raise! Effective tomorrow.",joy,"['office', 'raise', 'effective', 'tomorrow']",4
898,I’d need an expense account.,neutral,"['id', 'need', 'expense', 'account']",4
899,Done!,joy,['done'],1
900,And an assistant.,neutral,['assistant'],1
901,"Sophie, get in here!",joy,"['sophie', 'get']",2
902,Monica? You gonna be very proud of me. I just got us dates with two unbelievably cute nurses.,joy,"['monica', 'gon', 'na', 'proud', 'got', 'u', 'date', 'two', 'unbelievably', 'cute', 'nurse']",11
903,Oh my!,surprise,['oh'],1
904,They're male nurses.,neutral,"['theyre', 'male', 'nurse']",3
905,Not in my head.,neutral,['head'],1
906,"Anyway, they want to take us out Saturday night! What do you say?",joy,"['anyway', 'want', 'take', 'u', 'saturday', 'night', 'say']",7
907,Umm.  Umm. Umm. I don't think so.,joy,"['umm', 'umm', 'umm', 'dont', 'think']",5
908,What?,surprise,[],0
909,What are you talking about?!,surprise,['talking'],1
910,You-you're the one who's been telling me to get over Ross and move on.,anger,"['youyoure', 'one', 'who', 'telling', 'get', 'ross', 'move']",7
911,"I'm moving on, and you're moving on with me.",neutral,"['im', 'moving', 'youre', 'moving']",4
912,"Come on, give me one good reason why you don't wanna go.",neutral,"['come', 'give', 'one', 'good', 'reason', 'dont', 'wan', 'na', 'go']",9
913,"Umm, why don't you give",neutral,"['umm', 'dont', 'give']",3
914,What?,surprise,[],0
915,Harder than it sounds. Isn't it?,neutral,"['harder', 'sound', 'isnt']",3
916,"Okay, you're coming with me, and I also told them that if we're still here when they get off that we'll go down to the cafeteria and have some",neutral,"['okay', 'youre', 'coming', 'also', 'told', 'still', 'get', 'well', 'go', 'cafeteria']",10
917,Yep! There's always room for,neutral,"['yep', 'there', 'always', 'room']",4
918,"Joey, how do you make",neutral,"['joey', 'make']",2
919,"Oh, it's easy. Yeah, I-I can do it with anything. Watch uh,  Grandma's chicken salad",neutral,"['oh', 'easy', 'yeah', 'ii', 'anything', 'watch', 'uh', 'grandma', 'chicken', 'salad']",10
920,"Hello, this is Monica...",neutral,"['hello', 'monica']",2
921,Yeah???,neutral,['yeah'],1
922,Oh...,neutral,['oh'],1
923,"Okay, yes, we'll be right, we'll be right down.",neutral,"['okay', 'yes', 'well', 'right', 'well', 'right']",6
924,Thank you.,neutral,['thank'],1
925,Okay. Let’s bring it in.,neutral,"['okay', 'let', 'bring']",3
926,"Wait no, honey, honey throw it to me, throw it to me.",neutral,"['wait', 'honey', 'honey', 'throw', 'throw']",5
927,Here you go.,neutral,['go'],1
928,That almost hit me in the face.,anger,"['almost', 'hit', 'face']",3
929,"Well, if the magician can open my beer with his but cheeks, then all right.",neutral,"['well', 'magician', 'open', 'beer', 'cheek', 'right']",6
930,Hey!,joy,['hey'],1
931,Hey!,joy,['hey'],1
932,Y’know I’m-I’m really glad we decided not to sleep together before the wedding.,joy,"['yknow', 'imim', 'really', 'glad', 'decided', 'sleep', 'together', 'wedding']",8
933,"Oh boy, me too!",joy,"['oh', 'boy']",2
934,Y’know I was thinking if we had a…a big fight and uh we broke up for a few hours,neutral,"['yknow', 'thinking', 'aa', 'big', 'fight', 'uh', 'broke', 'hour']",8
935,Yeah?,fear,['yeah'],1
936,"Technically we could have sex again. What do you think, bossy and domineering?!",neutral,"['technically', 'could', 'sex', 'think', 'bossy', 'domineering']",6
937,"The wedding is off, sloppy and immature!",anger,"['wedding', 'sloppy', 'immature']",3
938,That’s me! Come on!,joy,"['thats', 'come']",2
939,"Okay.  But wait, we can’t. My Cousin Cassie is in the guest room, we’re supposed to have lunch.",neutral,"['okay', 'wait', 'cant', 'cousin', 'cassie', 'guest', 'room', 'supposed', 'lunch']",9
940,"Well, get rid of her, obsessive and shrill.",neutral,"['well', 'get', 'rid', 'obsessive', 'shrill']",5
941,Shrill?! The wedding is back on!,anger,"['shrill', 'wedding', 'back']",3
942,I thought I heard voices. You must be Chandler.,neutral,"['thought', 'heard', 'voice', 'must', 'chandler']",5
943,Hi! Nice to meet you!,joy,"['hi', 'nice', 'meet']",3
944,Nice to meet you too.,neutral,"['nice', 'meet']",2
945,"So, are you ready to go?",neutral,"['ready', 'go']",2
946,Yeah.,neutral,['yeah'],1
947,Chandler!,anger,['chandler'],1
948,I’ll be right with you.,neutral,"['ill', 'right']",2
949,"Th-th-that's all it is, a third nipple.",neutral,"['thththats', 'third', 'nipple']",3
950,Just your run-of-the-mill third nipple.,neutral,"['runofthemill', 'third', 'nipple']",3
951,You can take it off.,neutral,['take'],1
952,Just slice that baby right off!,fear,"['slice', 'baby', 'right']",3
953,"Take your shirt off, and let's see what we're dealing with here.  What are you doing?",neutral,"['take', 'shirt', 'let', 'see', 'dealing']",5
954,Just showing you my run-of-the-mill-slice-it-right-off third nipple.,neutral,"['showing', 'runofthemillsliceitrightoff', 'third', 'nipple']",4
955,Well that's not a third nipple.,neutral,"['well', 'thats', 'third', 'nipple']",4
956,No?,surprise,[],0
957,"First of all, it's on your ass.",neutral,"['first', 'as']",2
958,"Well then, what is it?!",surprise,['well'],1
959,"Wait a minute, hold it.  Johnson! Will you come in here a moment?",neutral,"['wait', 'minute', 'hold', 'johnson', 'come', 'moment']",6
960,I'm with Hamilton!,neutral,"['im', 'hamilton']",2
961,"He's good with rear things, bring him in too.",neutral,"['he', 'good', 'rear', 'thing', 'bring']",5
962,"Umm, this is great wine.",joy,"['umm', 'great', 'wine']",3
963,"It’s from France…In Europe…Western Europe. Y’know umm, a few years ago I actually was backpacking across Western Europe.",neutral,"['francein', 'europewestern', 'europe', 'yknow', 'umm', 'year', 'ago', 'actually', 'backpacking', 'across', 'western', 'europe']",12
964,Really?,surprise,['really'],1
965,"Uh-hmm—Wait! It gets better. Um, yeah I was in Barcelona.",joy,"['uhhmmwait', 'get', 'better', 'um', 'yeah', 'barcelona']",6
966,I studied for a year in Barcelona.,neutral,"['studied', 'year', 'barcelona']",3
967,"Anyway, umm so I was um, I was hiking",neutral,"['anyway', 'umm', 'um', 'hiking']",4
968,I love hiking!,joy,"['love', 'hiking']",2
969,Oh that’s great! I was hiking along the foothills of Mount Tibidaybo,joy,"['oh', 'thats', 'great', 'hiking', 'along', 'foothill', 'mount', 'tibidaybo']",8
970,"So? Congratulations you two, I didn’t even know you got married.",surprise,"['congratulation', 'two', 'didnt', 'even', 'know', 'got', 'married']",7
971,Oh we-we didn’t.,joy,"['oh', 'wewe', 'didnt']",3
972,No-no. We,fear,['nono'],1
973,What?!,surprise,[],0
974,"Um uh…We’re-we’re just having this baby together but uh, uh that’s all.",neutral,"['um', 'uhwerewere', 'baby', 'together', 'uh', 'uh', 'thats']",7
975,Why?!!,surprise,[],0
976,"Uh well umm…we’re just not in that place, y’know? But we’re very excited about this.",neutral,"['uh', 'well', 'ummwere', 'place', 'yknow', 'excited']",6
977,Oh. Well then shut me up.,neutral,"['oh', 'well', 'shut']",3
978,Just tell me how.,neutral,['tell'],1
979,"Uh-oh, I feel another one coming.",fear,"['uhoh', 'feel', 'another', 'one', 'coming']",5
980,"Let it go, Ross.",neutral,"['let', 'go', 'ross']",3
981,"Yeah, well, you didn't know Chi Chi.",neutral,"['yeah', 'well', 'didnt', 'know', 'chi', 'chi']",6
982,Do you all promise?,neutral,['promise'],1
983,Chandler? Do you promise to be good?,neutral,"['chandler', 'promise', 'good']",3
984,"You can come in, but your filter-tipped little buddy has to stay outside!",joy,"['come', 'filtertipped', 'little', 'buddy', 'stay', 'outside']",6
985,"Hey, Pheebs.",neutral,"['hey', 'pheebs']",2
986,Dear Ms. Buffay.,neutral,"['dear', 'm', 'buffay']",3
987,Thank you for calling attention to our error.,neutral,"['thank', 'calling', 'attention', 'error']",4
988,We have credited your account with five hundred dollars.,neutral,"['credited', 'account', 'five', 'hundred', 'dollar']",5
989,"We're sorry for the inconvenience, and hope you'll accept this-  -",neutral,"['sorry', 'inconvenience', 'hope', 'youll', 'accept']",5
990,"Oh my God, honey we are so meant to be together. We both have copies of the",neutral,"['oh', 'god', 'honey', 'meant', 'together', 'copy']",6
991,"Honey, both yours.",neutral,['honey'],1
992,Hey! Great advice on that Joey thing!,joy,"['hey', 'great', 'advice', 'joey', 'thing']",5
993,Yeah? The work problem?,neutral,"['yeah', 'work', 'problem']",3
994,Oh it was perfect! I mean it really felt like he was my friend again.,joy,"['oh', 'perfect', 'mean', 'really', 'felt', 'like', 'friend']",7
995,What problem did you tell him you had?,neutral,"['problem', 'tell']",2
996,"Oh that’s not important. The point is, I really—I think everything’s gonna be okay.",neutral,"['oh', 'thats', 'important', 'point', 'reallyi', 'think', 'everythings', 'gon', 'na', 'okay']",10
997,"Okay, I’ve got some Ones, you wanna put them in her panties?",neutral,"['okay', 'ive', 'got', 'one', 'wan', 'na', 'put', 'panty']",8
998,"No thanks, Mom!",disgust,"['thanks', 'mom']",2
999,"Ha-ha, it’s not my baby, ha-ha-ha!",anger,"['haha', 'baby', 'hahaha']",3
1000,"Very good,  so good.",joy,"['good', 'good']",2
1001,"I really, really enjoyed it. Very exotic.",joy,"['really', 'really', 'enjoyed', 'exotic']",4
1002,"Well, I just checked our messages and Joshua didn’t call.",sadness,"['well', 'checked', 'message', 'joshua', 'didnt', 'call']",6
1003,I mean you’d think he’d be worried about me not showing up at his club.,sadness,"['mean', 'youd', 'think', 'hed', 'worried', 'showing', 'club']",7
1004,"Ugh, you know what makes it so much worse, Ross is all happy in Vermont!",sadness,"['ugh', 'know', 'make', 'much', 'worse', 'ross', 'happy', 'vermont']",8
1005,Come on! Look where you are!!,joy,"['come', 'look']",2
1006,"When you get a sec, another round of daiquiris.",neutral,"['get', 'sec', 'another', 'round', 'daiquiri']",5
1007,"Remember, a virgin for me please.",neutral,"['remember', 'virgin', 'please']",3
1008,Oh! And don’t let me leave without getting the name of that carpet guy.,neutral,"['oh', 'dont', 'let', 'leave', 'without', 'getting', 'name', 'carpet', 'guy']",9
1009,"Ahh, come on! Y’know what—y’know what, I think I’m just gonna go home and call Kathy.",neutral,"['ahh', 'come', 'yknow', 'whatyknow', 'think', 'im', 'gon', 'na', 'go', 'home', 'call', 'kathy']",12
1010,"Well, if you think it will help.",neutral,"['well', 'think', 'help']",3
1011,No!,anger,[],0
1012,That was a test!,fear,['test'],1
1013,In a couple of hours I’m gonna get really drunk and wanna call Kathy and you guys are gonna have to stop me!,fear,"['couple', 'hour', 'im', 'gon', 'na', 'get', 'really', 'drunk', 'wan', 'na', 'call', 'kathy', 'guy', 'gon', 'na', 'stop']",16
1014,"And then after that, I’m gonna get so drunk, I’m gonna wanna call Janice",fear,"['im', 'gon', 'na', 'get', 'drunk', 'im', 'gon', 'na', 'wan', 'na', 'call', 'janice']",12
1015,You should! How is she?,surprise,[],0
1016,Ohhh!!,anger,['ohhh'],1
1017,I think somebody needs another lap dance.,joy,"['think', 'somebody', 'need', 'another', 'lap', 'dance']",6
1018,"All right, I definitely taste nutmeg.",neutral,"['right', 'definitely', 'taste', 'nutmeg']",4
1019,You do?,surprise,[],0
1020,"You don’t?  Well, that’s the difference between a professional and a layman.",surprise,"['dont', 'well', 'thats', 'difference', 'professional', 'layman']",6
1021,That and arrogance.,anger,['arrogance'],1
1022,Hey.,neutral,['hey'],1
1023,Hey! How was sailing?,joy,"['hey', 'sailing']",2
1024,Wow thanks!,joy,"['wow', 'thanks']",2
1025,Joe?,fear,['joe'],1
1026,Yeah!,joy,['yeah'],1
1027,"Uh, you’ve had a lot of sex right?",neutral,"['uh', 'youve', 'lot', 'sex', 'right']",5
1028,"When? Today? Some, not a lot.",surprise,"['today', 'lot']",2
1029,"Well, it’s just the reason that I’m asking is because I kind of eh, uh, I was unable to—I mean I really wanted to, but I couldn’t….",fear,"['well', 'reason', 'im', 'asking', 'kind', 'eh', 'uh', 'unable', 'toi', 'mean', 'really', 'wanted', 'couldnt']",13
1030,"There huh—hmm, there-there was an incident.",fear,"['huhhmm', 'therethere', 'incident']",3
1031,"Don’t worry about that man, that happens.",neutral,"['dont', 'worry', 'man', 'happens']",4
1032,It’s happened to you?,surprise,['happened'],1
1033,Yeah! Once.,neutral,['yeah'],1
1034,"Well, what’d you do?",surprise,"['well', 'whatd']",2
1035,I did it anyway.,neutral,['anyway'],1
1036,‘Sup? ‘Sup dude?,neutral,"['sup', 'sup', 'dude']",3
1037,"Take whatever you want, just please don’t hurt me.",fear,"['take', 'whatever', 'want', 'please', 'dont', 'hurt']",6
1038,So you’re playing a little,neutral,"['youre', 'playing', 'little']",3
1039,"Yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19.",disgust,"['yes', 'scale', 'dumbest', 'person', 'look', 'definitely']",6
1040,"Come on man, really how old?!",surprise,"['come', 'man', 'really', 'old']",4
1041,"Young! You’re a man-child okay?! Now go get changed because everybody’s ready and please, oh please, keep my underwear!",disgust,"['young', 'youre', 'manchild', 'okay', 'go', 'get', 'changed', 'everybodys', 'ready', 'please', 'oh', 'please', 'keep', 'underwear']",14
1042,And they knew about it?,surprise,['knew'],1
1043,"Okay, well Ross, what is this really about?",surprise,"['okay', 'well', 'ross', 'really']",4
1044,"Look, this is my home and I want to be able to come and go whenever I want!",anger,"['look', 'home', 'want', 'able', 'come', 'go', 'whenever', 'want']",8
1045,"Okay, I will find someplace else to do the rest of my appointments. I just don’t know what the big deal is!",anger,"['okay', 'find', 'someplace', 'else', 'rest', 'appointment', 'dont', 'know', 'big', 'deal']",10
1046,"The big deal is I don’t want naked, greasy strangers in my apartment when I want to kick back with a puzzle—beer! Cold beer.",disgust,"['big', 'deal', 'dont', 'want', 'naked', 'greasy', 'stranger', 'apartment', 'want', 'kick', 'back', 'puzzlebeer', 'cold', 'beer']",14
1047,"Okay, look, he's not gonna hurt them, right?",neutral,"['okay', 'look', 'he', 'gon', 'na', 'hurt', 'right']",7
1048,Do you always have to bring him here?,anger,"['always', 'bring']",2
1049,I didn't wanna leave him alone.,neutral,"['didnt', 'wan', 'na', 'leave', 'alone']",5
1050,Alright?,neutral,['alright'],1
1051,We- we had our first fight this morning.,neutral,"['first', 'fight', 'morning']",3
1052,I think it has to do with my working late.,neutral,"['think', 'working', 'late']",3
1053,"I said some things that I didn't mean, and he- he threw some faeces...",neutral,"['said', 'thing', 'didnt', 'mean', 'threw', 'faeces']",6
1054,"Y'know, if you're gonna work late, I could look in on him for you.",neutral,"['yknow', 'youre', 'gon', 'na', 'work', 'late', 'could', 'look']",8
1055,"Oh, that'd be great!",joy,"['oh', 'thatd', 'great']",3
1056,"Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.",neutral,"['okay', 'make', 'sure', 'seems', 'like', 'youre', 'see', 'okay', 'youre', 'like', 'favour']",11
1057,"Okay, but if he asks, I'm not going to lie.",neutral,"['okay', 'asks', 'im', 'going', 'lie']",5
1058,Check this out.,neutral,['check'],1
1059,It says here that there’s a place you can go to rent videos of all the museums!,surprise,"['say', 'there', 'place', 'go', 'rent', 'video', 'museum']",7
1060,"""It’s almost as good as being there.""",neutral,"['almost', 'good']",2
1061,It’s better! You can’t go to a museum in your underwear!,joy,"['better', 'cant', 'go', 'museum', 'underwear']",5
1062,Oh-ho! I bet the British version is gooooood!,joy,"['ohho', 'bet', 'british', 'version', 'gooooood']",5
1063,"Uh, may I help you?",neutral,"['uh', 'may', 'help']",3
1064,"Yeah, I talked to you on the phone, I’m the lady that got stuck with the racecar bed.",neutral,"['yeah', 'talked', 'phone', 'im', 'lady', 'got', 'stuck', 'racecar', 'bed']",9
1065,"Look, it’s like I told you, there’s nothing I can do. You signed for it, Monica Velula Geller.",neutral,"['look', 'like', 'told', 'there', 'nothing', 'signed', 'monica', 'velula', 'geller']",9
1066,"All right, Jester man, look we wanna see the king.",neutral,"['right', 'jester', 'man', 'look', 'wan', 'na', 'see', 'king']",8
1067,Nobody sees the king!,anger,"['nobody', 'see', 'king']",3
1068,"Oh-ho-kay, I’m talking to the king.",neutral,"['ohhokay', 'im', 'talking', 'king']",4
1069,Hey! You can’t go back there!,surprise,"['hey', 'cant', 'go', 'back']",4
1070,Oh my God.,surprise,"['oh', 'god']",2
1071,"So, this must be kinda neat for ya, huh?",neutral,"['must', 'kinda', 'neat', 'ya', 'huh']",5
1072,"I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don’t have to sell those cookies anymore.",neutral,"['mean', 'dad', 'tell', 'get', 'couple', 'day', 'school', 'ah', 'dont', 'sell', 'cooky', 'anymore']",12
1073,"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a",sadness,"['well', 'kinda', 'wanted', 'sell', 'cooky', 'girl', 'sell', 'win', 'trip', 'spacecamp', 'get', 'sit']",12
1074,"Wow, you ah, you really like all this space stuff, huh?",surprise,"['wow', 'ah', 'really', 'like', 'space', 'stuff', 'huh']",7
1075,Yeah.,neutral,['yeah'],1
1076,"My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he’d be able to afford a trip to the Taj Mahal.",neutral,"['dad', 'say', 'spend', 'much', 'time', 'helping', 'clean', 'apartment', 'daydreaming', 'outer', 'space', 'hed', 'able', 'afford', 'trip', 'taj', 'mahal']",17
1077,I think you would have to clean a whole lot of apartments to go all the way to India.,neutral,"['think', 'would', 'clean', 'whole', 'lot', 'apartment', 'go', 'way', 'india']",9
1078,"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me.",sadness,"['one', 'atlantic', 'city', 'dad', 'love', 'slot', 'say', 'he', 'gon', 'na', 'double', 'college', 'money', 'grandma', 'left']",15
1079,"Oh, um, I don’t know if that’s a good idea.",joy,"['oh', 'um', 'dont', 'know', 'thats', 'good', 'idea']",7
1080,"Oh. Look, just friends, I won’t grope you. I promise.",neutral,"['oh', 'look', 'friend', 'wont', 'grope', 'promise']",6
1081,"No, I just I think that it’s too soon.",joy,"['think', 'soon']",2
1082,"No it’s not too soon, I had lunch at a eleven.",neutral,"['soon', 'lunch', 'eleven']",3
1083,I invented the game of Cups as a way to give Joey money.,neutral,"['invented', 'game', 'cup', 'way', 'give', 'joey', 'money']",7
1084,And now you want that money back.,surprise,"['want', 'money', 'back']",3
1085,Exactly.,neutral,['exactly'],1
1086,"Chandler, what kind of an idiot do you take me for?",joy,"['chandler', 'kind', 'idiot', 'take']",4
1087,It’s not a real game! I made it up!,anger,"['real', 'game', 'made']",3
1088,"I’m sorry you lost your money, but I won it fair and square.",joy,"['im', 'sorry', 'lost', 'money', 'fair', 'square']",6
1089,I don't know.,neutral,"['dont', 'know']",2
1090,But I can see through your sheet.,neutral,"['see', 'sheet']",2
1091,"Yeah, yeah, that's her.",neutral,"['yeah', 'yeah', 'thats']",3
1092,But y'know what?,neutral,['yknow'],1
1093,"Doesn't matter, I'm never gonna get to meet her anyway.",sadness,"['doesnt', 'matter', 'im', 'never', 'gon', 'na', 'get', 'meet', 'anyway']",9
1094,Why?,neutral,[],0
1095,"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.",sadness,"['impossible', 'find', 'apartment', 'life', 'like', 'hot', 'girl', 'parallel', 'universe', 'something']",10
1096,"What are you talking about?  She obviously lives on the second floor, seventh apartment from the left!",surprise,"['talking', 'obviously', 'life', 'second', 'floor', 'seventh', 'apartment', 'left']",8
1097,No. No. No. She lives on the,neutral,['life'],1
1098,"No, those first two windows,  that's the lobby.",neutral,"['first', 'two', 'window', 'thats', 'lobby']",5
1099,"And y'know the other one over there, that's the stairway.",neutral,"['yknow', 'one', 'thats', 'stairway']",4
1100,You've been counting wrong.,neutral,"['youve', 'counting', 'wrong']",3
1101,I did,anger,[],0
1102,"Monica, betting the apartment, I don’t know about this.",fear,"['monica', 'betting', 'apartment', 'dont', 'know']",5
1103,"Rachel, I have not missed one question the whole game. I own this game! Look at my hand.",joy,"['rachel', 'missed', 'one', 'question', 'whole', 'game', 'game', 'look', 'hand']",9
1104,Why? Do you have the answers written on there?,surprise,"['answer', 'written']",2
1105,"No! Steady as a rock! Now, are you with me.",neutral,"['steady', 'rock']",2
1106,"All right, let’s do it.",fear,"['right', 'let']",2
1107,"All right, gentlemen, you’re up first.",neutral,"['right', 'gentleman', 'youre', 'first']",4
1108,Okay.,neutral,['okay'],1
1109,Okay.,neutral,['okay'],1
1110,You have 30 seconds. And the lightning round begins—stop it —now. What was Monica’s nickname when she was a field hockey goalie?,neutral,"['second', 'lightning', 'round', 'beginsstop', 'monicas', 'nickname', 'field', 'hockey', 'goalie']",9
1111,Big fat goalie.,neutral,"['big', 'fat', 'goalie']",3
1112,Correct. Rachel claims,neutral,"['correct', 'rachel', 'claim']",3
1113,Dangerous Liaisons,neutral,"['dangerous', 'liaison']",2
1114,Correct. Her actual favorite movie is...,neutral,"['correct', 'actual', 'favorite', 'movie']",4
1115,Weekend at Bernie’s,neutral,"['weekend', 'bernies']",2
